seed,probMeat,k,EquipmentPerPerson,nPeople,switchers,meatersA1,meatersA2,meatersImmo
355594148,0.8,0.30000000000000004,0.5,1500.0,15651.0,55.0,46.0,53.0
615216886,0.8,0.30000000000000004,0.5,1500.0,14793.0,53.0,49.0,54.0
-1291174220,0.8,0.30000000000000004,0.5,1500.0,15090.0,51.0,47.0,53.0
-1085269460,0.8,0.30000000000000004,0.5,1500.0,14316.0,56.0,43.0,52.0
905624542,0.8,0.30000000000000004,0.5,1500.0,14776.0,52.0,50.0,57.0
1868471917,0.8,0.30000000000000004,0.5,1500.0,13952.0,51.0,44.0,55.0
827671522,0.2,2.0000000000000004,0.5,1500.0,83574.0,50.0,47.0,50.0
202679208,0.2,2.0000000000000004,0.5,1500.0,83185.0,45.0,47.0,48.0
1340154990,0.2,2.0000000000000004,0.5,1500.0,84853.0,52.0,51.0,48.0
-1562204725,0.2,2.0000000000000004,0.5,1500.0,81614.0,47.0,50.0,50.0
-1731973319,0.2,2.0000000000000004,0.5,1500.0,85072.0,49.0,52.0,46.0
-196884557,0.2,2.0000000000000004,0.5,1500.0,85761.0,50.0,48.0,45.0
977111802,0.2,2.0000000000000004,0.5,1500.0,79243.0,50.0,49.0,48.0
481324750,0.2,2.0000000000000004,0.5,1500.0,83671.0,45.0,50.0,52.0
1850320308,0.2,2.0000000000000004,0.5,1500.0,83170.0,48.0,52.0,47.0
884288624,0.2,2.0000000000000004,0.5,1500.0,82943.0,43.0,50.0,41.0
945077828,0.9,0.7999999999999999,0.5,1500.0,37823.0,56.0,46.0,52.0
-1850817506,0.9,0.7999999999999999,0.5,1500.0,41373.0,52.0,45.0,53.0
1683446344,0.9,0.7999999999999999,0.5,1500.0,42041.0,60.0,50.0,54.0
1085063163,0.9,0.7999999999999999,0.5,1500.0,38615.0,53.0,45.0,52.0
-2012586440,0.9,0.7999999999999999,0.5,1500.0,40347.0,55.0,50.0,60.0
1194917459,0.9,0.7999999999999999,0.5,1500.0,39459.0,54.0,44.0,55.0
-2105858217,0.9,0.7999999999999999,0.5,1500.0,41483.0,49.0,48.0,51.0
-1733924813,0.9,0.7999999999999999,0.5,1500.0,39597.0,52.0,48.0,53.0
-417462645,0.9,0.7999999999999999,0.5,1500.0,43093.0,54.0,51.0,52.0
-323347281,0.9,0.7999999999999999,0.5,1500.0,40120.0,57.0,45.0,54.0
-2036910738,0.30000000000000004,0.8999999999999999,0.5,1500.0,44468.0,52.0,52.0,45.0
445485583,0.30000000000000004,0.8999999999999999,0.5,1500.0,45984.0,44.0,52.0,48.0
261052353,0.30000000000000004,0.8999999999999999,0.5,1500.0,47667.0,50.0,50.0,49.0
718102612,0.30000000000000004,0.8999999999999999,0.5,1500.0,45963.0,47.0,45.0,47.0
-675818635,0.30000000000000004,0.8999999999999999,0.5,1500.0,43367.0,46.0,53.0,49.0
-745580827,0.30000000000000004,0.8999999999999999,0.5,1500.0,42564.0,52.0,51.0,48.0
764013074,0.30000000000000004,0.8999999999999999,0.5,1500.0,44786.0,52.0,51.0,51.0
1726341749,0.30000000000000004,0.8999999999999999,0.5,1500.0,47670.0,48.0,50.0,51.0
-680002299,0.30000000000000004,0.8999999999999999,0.5,1500.0,46746.0,47.0,48.0,42.0
-1331389452,0.30000000000000004,0.8999999999999999,0.5,1500.0,45210.0,51.0,52.0,50.0
-1260146177,0.8,0.09999999999999999,0.5,1500.0,4419.0,60.0,47.0,56.0
-182685958,0.8,0.09999999999999999,0.5,1500.0,4915.0,58.0,45.0,60.0
1661185318,0.8,0.09999999999999999,0.5,1500.0,4961.0,55.0,49.0,61.0
-1921394474,0.8,0.09999999999999999,0.5,1500.0,4799.0,57.0,50.0,51.0
52860487,0.8,0.09999999999999999,0.5,1500.0,5117.0,58.0,46.0,58.0
266320316,0.8,0.09999999999999999,0.5,1500.0,4918.0,56.0,45.0,57.0
-43620308,0.8,0.09999999999999999,0.5,1500.0,4823.0,56.0,47.0,59.0
-548924099,0.8,0.09999999999999999,0.5,1500.0,5274.0,59.0,47.0,57.0
-285169455,0.8,0.09999999999999999,0.5,1500.0,4763.0,60.0,49.0,55.0
-1953235864,0.8,0.09999999999999999,0.5,1500.0,4962.0,60.0,52.0,56.0
