runN,Variables,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
18,round((count parisians with [Meat? = 1 and act1? = 0 and act2? = 1] * 100)/ count parisians with [act1? = 0 and act2? = 1]),14,54,51,53,56,54,50,53,55,51,53,50,52,56,51,52,51,51,53,50,51,55,52,56,52,52,48,48,53,55,52,52,54,52,47,51,50,50,53,50,50,49,50,50,50,53,50,58,51,50,52
19,round((count parisians with [Meat? = 1 and act1? = 1 and act2? = 1] * 100)/ count parisians with [act1? = 1 and act2? = 1]),17,57,56,52,54,47,52,50,53,52,52,54,51,55,52,49,48,54,48,50,53,55,51,50,50,51,50,54,50,49,55,52,53,55,52,54,51,51,52,52,56,53,51,53,52,50,49,49,52,52,50
19,round((count parisians with [Meat? = 1 and act1? = 0 and act2? = 0] * 100)/ count parisians with [act1? = 0 and act2? = 0]),16,29,37,39,41,42,42,43,45,44,44,43,44,45,47,48,48,48,50,48,48,50,51,50,51,47,46,46,45,46,46,45,47,47,46,48,49,48,47,47,47,49,48,49,51,48,49,47,48,49,48
19,round((count parisians with [Meat? = 1 and act1? = 1 and act2? = 0] * 100)/ count parisians with [act1? = 1 and act2? = 0]),15,31,38,41,44,46,46,47,45,49,45,47,45,44,46,44,47,47,48,49,50,51,52,49,51,45,48,45,46,43,46,47,46,49,48,45,47,46,50,50,49,48,49,51,51,50,50,50,50,48,45
19,round((count parisians with [Meat? = 1 and act1? = 0 and act2? = 1] * 100)/ count parisians with [act1? = 0 and act2? = 1]),15,60,56,47,53,50,50,54,50,52,50,49,50,47,55,52,50,49,52,45,50,52,52,50,50,51,50,48,48,50,51,50,53,52,53,52,50,51,47,49,53,49,48,51,51,51,48,53,51,55,52
20,round((count parisians with [Meat? = 1 and act1? = 1 and act2? = 1] * 100)/ count parisians with [act1? = 1 and act2? = 1]),16,56,54,52,53,53,55,55,49,48,48,54,52,53,47,54,53,50,51,51,53,52,48,52,52,52,49,48,49,57,55,51,50,53,56,52,54,51,51,55,50,53,51,51,55,54,54,49,50,47,50
20,round((count parisians with [Meat? = 1 and act1? = 0 and act2? = 0] * 100)/ count parisians with [act1? = 0 and act2? = 0]),13,32,38,40,45,48,47,45,44,47,45,46,49,47,47,44,43,44,50,47,46,47,46,49,47,48,46,47,51,50,48,46,47,47,49,49,47,45,45,50,49,50,48,49,48,49,48,47,48,47,48
20,round((count parisians with [Meat? = 1 and act1? = 1 and act2? = 0] * 100)/ count parisians with [act1? = 1 and act2? = 0]),16,32,38,39,43,46,47,49,49,49,50,50,49,53,51,49,51,50,51,51,50,48,49,48,50,51,49,50,52,51,50,50,50,49,49,51,53,50,52,50,49,49,47,49,44,47,48,45,47,47,48
20,round((count parisians with [Meat? = 1 and act1? = 0 and act2? = 1] * 100)/ count parisians with [act1? = 0 and act2? = 1]),15,62,56,56,51,51,53,50,54,53,51,53,51,52,56,53,51,53,49,49,51,48,51,53,49,52,52,49,54,52,50,47,53,49,48,50,56,47,55,50,52,51,49,51,52,50,53,50,49,54,54
21,round((count parisians with [Meat? = 1 and act1? = 1 and act2? = 1] * 100)/ count parisians with [act1? = 1 and act2? = 1]),16,55,54,51,53,51,55,50,53,52,50,53,55,53,50,49,53,51,51,50,51,48,52,52,47,54,48,50,54,52,51,47,48,51,51,50,51,50,52,54,51,48,48,51,51,50,51,51,51,50,50
21,round((count parisians with [Meat? = 1 and act1? = 0 and act2? = 0] * 100)/ count parisians with [act1? = 0 and act2? = 0]),14,29,36,40,43,43,47,42,41,41,44,42,45,45,45,46,47,50,48,47,53,50,48,47,47,50,49,49,49,48,46,47,48,45,46,52,48,47,44,44,46,46,47,46,48,50,49,46,47,47,49
